"source","target"
"interact","Akce"
"remove_weapon","Schovat zbraň"
"draw_weapon","Vytasit zbraň"
"draw_weapon_melee","Zbraň na blízko"
"draw_weapon_ranged","Zbraň na dálku"
"draw_weapon_ranged_melee","Luk/meč"
"end_transform","Proměnit zpět"
"target_lock","Uzamknout cíl"
"aim","Zaměřit"
"shoot","Vystřelit"
"cast","Kouzlit"
"attack","Útok"
"parry","Blok"
"next_enemy","Další protivník"
"shift","Shift"
"category_prev","Předchozí kategorie"
"category_next","Další kategorie"
"confim_trade","Potvrdit obchod"
"drop_item","Zahodit"
"trans_item","Přesunout jeden"
"trans_few_items","Přesunout více"
"screen_status_log","Statistiky/deník"
"quick_menu","Rychlé menu"
"turn","Otáčení"
"swim","Plavání"
"place_item","Umístit předmět"
"select_item","Vybrat předmět"
"remove_item","Odstranit předmět"
"focus_item","Vybrat"
"menu_back","Zpět"
"menu_cancel","Zrušit"
"on_quick_bar","Na quick bar"
"picklock","Použít paklíč"
"look_around","Rozhlížet se"
"settings","Nastavení"
