"source","target"
"interact","Взаємодіяти"
"remove_weapon","Сховати зброю"
"draw_weapon","Витягнути зброю"
"draw_weapon_melee","Близький бій"
"draw_weapon_ranged","Дальній бій"
"draw_weapon_ranged_melee","Лук/меч"
"end_transform","Повернути форму"
"target_lock","Фіксація цілі"
"aim","Цілитись"
"shoot","Стріляти"
"cast","Кастувати"
"attack","Атака"
"parry","Відбити"
"next_enemy","Наступний ворог"
"shift","Shift"
"category_prev","Попр. категорія"
"category_next","Наступна категорія"
"confim_trade","Здійснити обмін"
"drop_item","Викинути"
"trans_item","Перекласти один"
"trans_few_items","Перекласти декілька"
"screen_status_log","Статус/Щоденник"
"quick_menu","Швидке меню"
"turn","Розвернути"
"swim","Плисти"
"place_item","Покласти предмет"
"select_item","Вибрати предмет"
"remove_item","Прибрати предмет"
"focus_item","Фокус"
"menu_back","Назад"
"menu_cancel","Відміна"
"on_quick_bar","У швидкий доступ"
"picklock","Використати відмичку"
"look_around","Подивитись назад"
"settings","Налаштування"
