"source","target"
"interact","Interact"
"remove_weapon","Remove weapon"
"draw_weapon","Draw weapon"
"draw_weapon_melee","Fight melee"
"draw_weapon_ranged","Fight range"
"draw_weapon_ranged_melee","Bow/sword"
"end_transform","Reset form"
"target_lock","Target lock"
"aim","Aim"
"shoot","Shoot"
"cast","Cast"
"attack","Attack"
"parry","Parry"
"next_enemy","Next enemy"
"shift","Shift"
"category_prev","Prev. category"
"category_next","Next category"
"confim_trade","Confirm trade"
"drop_item","Drop"
"trans_item","Transfer one"
"trans_few_items","Transfer a few"
"screen_status_log","Status/Log"
"quick_menu","Quick menu"
"turn","Turn"
"swim","Swim"
"place_item","Place item"
"select_item","Select item"
"remove_item","Remove item"
"focus_item","Focus"
"menu_back","Back"
"menu_cancel","Cancel"
"on_quick_bar","On quick bar"
"picklock","Use picklock"
"look_around","Look around"
"settings","Settings"
