"source","target"
"interact","Interakció"
"remove_weapon","Fegyver levétele"
"draw_weapon","Fegyver elővétele"
"draw_weapon_melee","Közelharc"
"draw_weapon_ranged","Távharc"
"draw_weapon_ranged_melee","Íj/kard"
"end_transform","Visszaváltozás"
"target_lock","Célba vétel"
"aim","Célzás"
"shoot","Lövés"
"cast","Varázslás"
"attack","Támadás"
"parry","Kivédés"
"next_enemy","Következő ellenfél"
"shift","Shift"
"category_prev","Előző kategória"
"category_next","Következő kategória"
"confim_trade","Kereskedés megerősítése"
"drop_item","Eldobás"
"trans_item","Egy átvitele"
"trans_few_items","Több átvitele"
"screen_status_log","Státusz/Napló"
"quick_menu","Gyors menü"
"turn","Fordulás"
"swim","Úszás"
"place_item","Tárgy elhelyezése"
"select_item","Tárgy kiválasztása"
"remove_item","Tárgy eltávolítása"
"focus_item","Fókusz"
"menu_back","Vissza"
"menu_cancel","Mégse"
"on_quick_bar","Eszköztáron"
"picklock","Tolvajkulcs használata"
"look_around","Körül nézés"
"settings","Beállítások"
