"source","target"
"interact","Interagieren"
"remove_weapon","Waffe entfernen"
"draw_weapon","Waffe ziehen"
"draw_weapon_melee","Nahkampf"
"draw_weapon_ranged","Fernkampf"
"draw_weapon_ranged_melee","Bogen/Schwert"
"end_transform","Formular leeren"
"target_lock","Zielsperre"
"aim","Zielen"
"shoot","Schießen"
"cast","Zauber wirken"
"attack","Attacke"
"parry","Parieren"
"next_enemy","Nächster Feind"
"shift","Shift"
"category_prev","Zurück Kategorie"
"category_next","Nächste Kategorie"
"confim_trade","Bestätigen Sie den Handel"
"drop_item","Fallen"
"trans_item","Übertragen Sie eine"
"trans_few_items","Übertragen Sie ein paar"
"screen_status_log","Status/Tagebuch"
"quick_menu","Schnellmenü"
"turn","Wende"
"swim","Schwimmen"
"place_item","Gegenstand platzieren"
"select_item","Gegenstand wählen"
"remove_item","Gegenstand entfernen"
"focus_item","Fokus"
"menu_back","Zurück"
"menu_cancel","Stornieren"
"on_quick_bar","Auf Schnellbar"
"picklock","Verwenden Sie Picklock"
"look_around","Umschauen"
"settings","Einstellungen"
