"source","target"
"interact","Interakcja"
"remove_weapon","Schowaj Broń"
"draw_weapon","Wyciągnij Broń"
"draw_weapon_melee","Walka Wręcz"
"draw_weapon_ranged","Walka na Dystans"
"draw_weapon_ranged_melee","Łuk/Miecz"
"end_transform","Przywróć Formę"
"target_lock","Blokada Celu"
"aim","Cel"
"shoot","Strzał"
"cast","Czarować"
"attack","Atak"
"parry","Parować"
"next_enemy","Następny Przeciwnik"
"shift","Shift"
"category_prev","Wstępna Kategoria"
"category_next","Następna Kategoria"
"confim_trade","Potwierdź Handel"
"drop_item","Wyrzuć"
"trans_item","Przekaż Jeden"
"trans_few_items","Przekaż Kilka"
"screen_status_log","Status/Dziennik"
"quick_menu","Szybkie Menu"
"turn","Obróć"
"swim","Pływać"
"place_item","Umieść Przedmiot"
"select_item","Wybierz Przedmiot"
"remove_item","Usuń Przedmiot"
"focus_item","Skupienie"
"menu_back","Wróć"
"menu_cancel","Przerwij"
"on_quick_bar","Na Pasku Szybkiego Dostępu"
"picklock","Użyj Wytrychu"
"look_around","Rozglądaj się"
"settings","Ustawienia"
